name,description,latitude,longitude,image_url,significance
Kailasanathar Temple,"The Kailasanathar Temple in Kanchipuram is one of the earliest structural temples built by the Pallavas. Unlike later Dravidian temples, it has a simple elegance with sandstone construction. The temple has 58 small shrines around the main sanctum depicting Shiva's various forms. The intricate frescoes and carvings show early examples of South Indian art. The temple's design represents Mount Kailash, Shiva's abode.",12.9333,79.7,image11.jfif,"Speciality: Oldest structural temple in Kanchipuram. Features rare early Pallava sculptures. Darshan Timings: 6:00 AM to 12:00 PM and 4:00 PM to 8:00 PM. Why Visit: To see early Dravidian temple architecture. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Ramanathaswamy Temple,"The Ramanathaswamy Temple in Rameswaram is one of the twelve Jyotirlingas. The temple has the longest corridor among all Hindu temples with 1212 pillars. The 22 sacred wells within the complex have waters with different tastes and medicinal properties. According to legend, Rama worshipped Shiva here before attacking Lanka. The temple's architecture shows a blend of Dravidian and other styles.",9.2901,79.3115,image12.jfif,"Speciality: Theertham (holy water) from 22 wells is used for rituals. The corridor stretches over 700 feet. Darshan Timings: 5:00 AM to 1:00 PM and 3:00 PM to 9:00 PM. Why Visit: For spiritual cleansing and architectural wonder. How to Reach: Nearest airport is Madurai (170 km), nearest railway station is Rameswaram."
Thiruvanaikaval Jambukeswarar Temple,"The Thiruvanaikaval Jambukeswarar Temple is one of the Pancha Bhoota Stalas representing water. The lingam is constantly bathed by an underground stream. The temple has a unique feature where the goddess shrine faces west instead of east. According to legend, an elephant worshipped Shiva here under a jambu tree. The temple's five-tiered rajagopuram is visible from afar. The annual festival features special abhishekams.",10.8212,78.7031,image13.jfif,"Speciality: The water element lingam is always moist. Goddess faces west in teaching posture. Darshan Timings: 6:00 AM to 1:00 PM and 3:30 PM to 8:30 PM. Why Visit: For blessings from the water lingam. How to Reach: Nearest airport is Trichy (8 km), nearest railway station is Tiruchirappalli."
Sri Ranganathaswamy Temple,The Sri Ranganathaswamy Temple in Srirangam is the largest functioning Hindu temple complex. It has seven concentric walls and 21 gopurams including the 236-feet tall Rajagopuram. The main deity is Lord Ranganatha reclining on Adisesha. The 1000-pillar hall contains exquisite sculptures. The temple follows strict Vaishnavite traditions. The annual 21-day festival attracts over a million devotees with colorful processions.,10.8265,78.704,image14.jfif,"Speciality: One of eight self-manifested Vishnu temples. Golden vimana weighs over 26,000 kg. Darshan Timings: 6:00 AM to 1:00 PM and 3:30 PM to 9:00 PM. Why Visit: To see the magnificent temple complex. How to Reach: Nearest airport is Trichy (10 km), nearest railway station is Srirangam."
Kundrakudi Murugan Temple,The Kundrakudi Murugan Temple near Karaikudi is perched on a hill offering panoramic views. The temple is known for its peaceful atmosphere and spiritual energy. The main deity is Lord Murugan in a majestic form. The temple's architecture blends Chettinad and Dravidian styles. The hilltop location provides a serene environment for meditation. The annual Skanda Sashti festival is celebrated with great devotion.,9.7464,78.6096,image15.jfif,"Speciality: Hilltop location offers scenic views. The temple has unique Chettinad architectural elements. Darshan Timings: 6:00 AM to 12:00 PM and 4:00 PM to 8:00 PM. Why Visit: For spiritual peace and beautiful views. How to Reach: Nearest airport is Madurai (90 km), nearest railway station is Karaikudi."
Varadaraja Perumal Temple,The Varadaraja Perumal Temple in Kanchipuram is one of the 108 Divya Desams. The temple features exquisite Dravidian architecture with a beautiful sculpture of Lord Vishnu. The temple tank is believed to have been created by Brahma. The annual festival features the rare sight of the deity in a reclining position. The temple's history dates back over a thousand years with contributions from various dynasties.,12.8333,79.7,image16.jfif,"Speciality: One of the most important Vishnu temples in Kanchipuram. The deity is seen in a rare reclining pose during festivals. Darshan Timings: 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM. Why Visit: For Vaishnavite traditions and architecture. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Sri Ekambareswarar Temple,The Sri Ekambareswarar Temple in Kanchipuram is one of the Pancha Bhoota Stalas representing earth. The temple's 59-meter high gopuram is a landmark. The main lingam is made of sand and worshipped daily. A 3500-year-old mango tree in the complex yields four different flavored fruits. The temple's history spans over 1500 years with contributions from Pallava and Chola kings. The annual festival features colorful processions.,12.8333,79.7,image17.jfif,"Speciality: Earth element lingam made of sand. Ancient mango tree with four fruit types. Darshan Timings: 6:00 AM to 12:30 PM and 4:00 PM to 8:30 PM. Why Visit: For the earth lingam and historic tree. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Vadapalani Andavar Temple,"The Vadapalani Andavar Temple in Chennai is dedicated to Lord Murugan. The temple is known for fulfilling devotees' wishes, especially regarding marriage and education. The temple's architecture follows traditional Dravidian style with colorful gopurams. The shrine of the consorts Valli and Deivanai is beautifully decorated. The annual Skanda Sashti festival features dramatic reenactments of Murugan's victory over evil. The temple attracts devotees from all over Tamil Nadu.",13.054,80.2205,image18.jfif,"Speciality: Known for wish fulfillment, especially regarding marriage. Beautiful shrine of Valli and Deivanai. Darshan Timings: 5:30 AM to 12:00 PM and 4:00 PM to 9:30 PM. Why Visit: For Murugan's blessings and wish fulfillment. How to Reach: Nearest airport is Chennai (10 km), nearest railway station is Vadapalani."
Annamalaiyar Temple,The Annamalaiyar Temple in Thiruvannamalai is one of the Pancha Bhoota Stalas representing fire. The temple's 66-meter high gopuram is visible from miles away. The main deity is Arunachaleswarar (Shiva) as a lingam of fire. The Girivalam (circumambulation) of Arunachala hill is a famous practice. The temple's history dates back over a thousand years with contributions from various dynasties. The annual Karthigai Deepam festival lights the entire hill with lamps.,12.2261,79.0748,image19.jfif,"Speciality: Fire element lingam representing cosmic fire. The 10 km Girivalam path around the hill. Darshan Timings: 5:30 AM to 12:30 PM and 3:30 PM to 9:30 PM. Why Visit: For the fire lingam and Girivalam experience. How to Reach: Nearest airport is Chennai (185 km), nearest railway station is Thiruvannamalai."
Murugan Temple,The Murugan Temple in Tiruchendur is one of the six sacred abodes of Lord Murugan. Located by the sea,,,,
Vaitheeswaran Koil Temple,"The Vaitheeswaran Koil Temple is known as the 'temple of healing' dedicated to Lord Shiva. Located near Mayiladuthurai, the temple has a sacred tank where devotees take holy dips for curing ailments. The temple's history is associated with the sage Angaraka who was cured here. The architecture features beautiful sculptures and a five-tiered gopuram. The temple is especially crowded on Tuesdays when special prayers are offered for health issues.",11.126,79.6246,image21.jfif,"Speciality: Known for healing powers, especially skin diseases. The temple tank's water is believed to have medicinal properties. Darshan Timings: 6:00 AM to 12:30 PM and 4:00 PM to 8:30 PM. Why Visit: For healing and spiritual solace. How to Reach: Nearest airport is Trichy (110 km), nearest railway station is Mayiladuthurai."
Venkateswara Temple,"The Venkateswara Temple in Tirumala is one of the richest and most visited temples in the world. The main deity is Lord Venkateswara, an incarnation of Vishnu. The temple's architecture follows Dravidian style with golden gopurams. The sacred pushkarini (tank) is where devotees bathe before darshan. The temple receives over 50,000 visitors daily. The annual Brahmotsavam festival is celebrated with great grandeur.",13.6288,79.3942,image22.jfif,"Speciality: The idol's crown contains valuable jewels donated by various kings. The temple kitchen prepares 50,000 laddus daily. Darshan Timings: 3:00 AM to 11:30 PM (varies by season). Why Visit: For divine blessings and architectural splendor. How to Reach: Nearest airport is Tirupati (15 km), nearest railway station is Tirupati."
Sri Kanchi Kamakshi Temple,The Sri Kanchi Kamakshi Temple in Kanchipuram is a major Shakti Peetha dedicated to Goddess Kamakshi. The temple's golden tower and intricately carved pillars showcase Pallava architecture. The deity sits in a unique padmasana posture holding sugarcane bow and flower arrows. The temple tank is believed to have been created by Goddess Kamakshi herself. The annual festival features the spectacular golden chariot procession attracting devotees from across India.,12.8333,79.7,image23.jfif,"Speciality: One of the few temples where the Goddess is worshipped in a sitting posture. The temple's yantra is considered extremely powerful. Darshan Timings: 5:30 AM to 12:00 PM and 4:00 PM to 8:30 PM. Why Visit: For blessings from the compassionate form of Parvati. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Brihadeeswarar Temple,The Brihadeeswarar Temple in Thanjavur is a UNESCO World Heritage Site built by Rajaraja Chola I. The temple's vimana (tower) rises 216 feet without any foundation. The massive Nandi statue weighs about 20 tons. The temple walls contain inscriptions about Chola administration. The shadow of the vimana never falls on the ground. The temple's construction used interlocking stones without mortar. The annual festival celebrates the Chola king's devotion.,10.7845,79.1327,image24.jfif,"Speciality: The world's first complete granite temple. The capstone weighs 80 tons. Darshan Timings: 6:00 AM to 12:30 PM and 4:00 PM to 8:30 PM. Why Visit: For Chola architectural marvel. How to Reach: Nearest airport is Trichy (55 km), nearest railway station is Thanjavur."
Kumaranallur Murugan Temple,The Kumaranallur Murugan Temple near Kottayam is famous for its unique architecture and spiritual ambiance. The temple's main deity is Lord Murugan in a majestic form. The annual festival features colorful processions and traditional art forms. The temple's history dates back over 1000 years with mentions in ancient texts. The sacred tank is believed to have healing properties. The temple follows strict rituals and traditions.,9.5721,76.993,image25.jfif,"Speciality: The deity is believed to have appeared here to bless a sage. The temple architecture blends Kerala and Tamil styles. Darshan Timings: 4:30 AM to 12:00 PM and 4:00 PM to 8:30 PM. Why Visit: For Murugan's blessings and peaceful atmosphere. How to Reach: Nearest airport is Kochi (80 km), nearest railway station is Kottayam."
Sri Mahalingeshwarar Temple,The Sri Mahalingeshwarar Temple in Tiruvarur is an ancient Shiva temple with a massive temple tank. The temple's architecture showcases Chola craftsmanship. The main deity is worshipped as a swayambhu (self-manifested) lingam. The temple chariot is one of the largest in Tamil Nadu. The annual festival features special abhishekams and processions. The temple's history is mentioned in the Thevaram hymns by saint poets.,10.7941,79.299,image26.jfif,"Speciality: The temple tank is among the largest in South India. The chariot festival attracts thousands. Darshan Timings: 6:00 AM to 12:30 PM and 4:00 PM to 9:00 PM. Why Visit: For ancient Shiva worship traditions. How to Reach: Nearest airport is Trichy (55 km), nearest railway station is Tiruvarur."
Sri Adi Kesava Perumal Temple,The Sri Adi Kesava Perumal Temple in Kanchipuram is one of the 108 Divya Desams. The temple's architecture features beautiful sculptures of Vishnu in various forms. The temple tank is believed to have been created by Brahma. The annual festival features the deity in a rare reclining position. The temple's history spans over 1200 years with contributions from Pallava and Chola kings.,12.8333,79.7,image27.jfif,"Speciality: One of the most important Vishnu temples in Kanchipuram. Features rare reclining Vishnu iconography. Darshan Timings: 6:00 AM to 12:00 PM and 4:00 PM to 8:30 PM. Why Visit: For Vaishnavite traditions and architecture. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Tiruchendur Murugan Temple,"The Tiruchendur Murugan Temple is one of the six sacred abodes of Lord Murugan. Located by the sea, the temple's architecture blends with the coastal landscape. The main deity is worshipped as the victorious general who defeated demons. The temple has a unique feature where the sea is visible from the sanctum. The annual Skanda Sashti festival features dramatic reenactments of Murugan's victory.",8.4897,78.1335,image28.jfif,"Speciality: Only Murugan temple located by the sea. The deity faces east towards the ocean. Darshan Timings: 5:00 AM to 1:00 PM and 4:00 PM to 9:00 PM. Why Visit: For coastal temple experience and Murugan's blessings. How to Reach: Nearest airport is Tuticorin (40 km), nearest railway station is Tiruchendur."
Thiruvannamalai Arunachaleswarar Temple,The Thiruvannamalai Arunachaleswarar Temple is one of the Pancha Bhoota Stalas representing fire. The temple's 66-meter high gopuram dominates the skyline. The main deity is Arunachaleswarar (Shiva) as a lingam of fire. The Girivalam (circumambulation) of Arunachala hill is a famous spiritual practice. The temple's history dates back over a thousand years with contributions from various dynasties.,12.2261,79.0748,image29.jfif,"Speciality: Fire element lingam representing cosmic fire. The 14 km Girivalam path around the hill. Darshan Timings: 5:30 AM to 12:30 PM and 3:30 PM to 9:30 PM. Why Visit: For the fire lingam and Girivalam experience. How to Reach: Nearest airport is Chennai (185 km), nearest railway station is Thiruvannamalai."
Sri Venkateswara Temple,"The Sri Venkateswara Temple in Tirumala is the most visited temple in India. The main deity is Lord Venkateswara, an incarnation of Lord Vishnu. The temple's architecture follows Dravidian style with golden gopurams. The sacred pushkarini (tank) is where devotees bathe before darshan. The temple receives millions of visitors annually. The laddu prasadam is famous across India.",13.6288,79.3942,image30.jfif,"Speciality: The idol's crown contains valuable jewels donated by various kings. The temple kitchen prepares thousands of laddus daily. Darshan Timings: 3:00 AM to 11:30 PM (varies by season). Why Visit: For divine blessings and architectural splendor. How to Reach: Nearest airport is Tirupati (15 km), nearest railway station is Tirupati."
Sri Kamakshi Amman Temple,The Sri Kamakshi Amman Temple in Kanchipuram is a major Shakti Peetha dedicated to Goddess Kamakshi. The temple's architecture showcases Pallava craftsmanship. The deity sits in a unique padmasana posture holding sugarcane bow and flower arrows. The temple tank is believed to have healing properties. The annual festival features the spectacular golden chariot procession attracting devotees from across India.,12.8333,79.7,image31.jfif,"Speciality: One of the few temples where the Goddess is worshipped in a sitting posture. The temple's yantra is considered powerful. Darshan Timings: 5:30 AM to 12:00 PM and 4:00 PM to 8:30 PM. Why Visit: For blessings from the compassionate form of Parvati. How to Reach: Nearest airport is Chennai (75 km), nearest railway station is Kanchipuram."
Kapaleeshwarar Temple,"The Kapaleeshwarar Temple in Mylapore, Chennai is dedicated to Lord Shiva. The temple's architecture is a fine example of Dravidian style with colorful gopurams. The temple tank is associated with the legend of Goddess Parvati worshiping Shiva here as a peacock. The annual festival features the spectacular theppam (float festival). The temple's history dates back over 1000 years with mentions in ancient texts.",13.0376,80.2602,image32.jfif,"Speciality: The temple's name comes from 'kapalam' (skull) associated with a Shiva legend. The peacock-themed sculptures are unique. Darshan Timings: 5:00 AM to 12:00 PM and 4:00 PM to 9:30 PM. Why Visit: For ancient Shiva worship in Chennai. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Mylapore."
Shore Temple,The Shore Temple in Mahabalipuram is a UNESCO World Heritage Site built by Pallava kings. The temple complex faces the Bay of Bengal and consists of three shrines. The architecture represents early Dravidian style with intricate carvings. The temple is dedicated to both Shiva and Vishnu. The temple's location makes it vulnerable to erosion but conservation efforts preserve its beauty.,12.6243,80.2134,image33.jfif,"Speciality: One of the oldest structural stone temples in South India. The temple complex reflects Pallava architectural brilliance. Darshan Timings: 6:00 AM to 6:00 PM all days. Why Visit: For ancient coastal temple architecture. How to Reach: Nearest airport is Chennai (60 km), nearest railway station is Chengalpattu."
Sri Parthasarathy Temple,The Sri Parthasarathy Temple in Chennai is one of the 108 Divya Desams dedicated to Lord Krishna. The temple's architecture features beautiful sculptures of Krishna in various forms. The main deity shows Krishna as Parthasarathy (charioteer to Arjuna). The temple's history dates back over 1000 years with contributions from Pallava kings. The annual festival features colorful processions.,13.0875,80.2785,image34.jfif,"Speciality: One of the few temples showing Krishna with mustache. The temple has five different forms of Vishnu. Darshan Timings: 6:00 AM to 12:00 PM and 4:00 PM to 9:00 PM. Why Visit: For ancient Vaishnavite traditions in Chennai. How to Reach: Nearest airport is Chennai (10 km), nearest railway station is Chennai Central."
Vaitheeswaran Koil,The Vaitheeswaran Koil near Mayiladuthurai is known as the 'temple of healing' dedicated to Lord Shiva. The temple has sacred wells where devotees take holy dips for curing ailments. The temple's history is associated with the sage Angaraka who was cured here. The architecture features beautiful sculptures and a five-tiered gopuram. The temple is especially crowded on Tuesdays.,11.126,79.6246,image35.jfif,"Speciality: Known for healing powers, especially chronic diseases. The temple wells' water is believed to be medicinal. Darshan Timings: 6:00 AM to 12:30 PM and 4:00 PM to 8:30 PM. Why Visit: For healing and spiritual solace. How to Reach: Nearest airport is Trichy (110 km), nearest railway station is Mayiladuthurai."
Srikalahasti Temple,"The Srikalahasti Temple in Andhra Pradesh is one of the Pancha Bhoota Stalas representing air. The temple's main deity is Srikalahasteeswara (Shiva) as a lingam of air. The temple's name comes from the legend of spider, snake and elephant worshipping Shiva here. The architecture features beautiful sculptures and a tall gopuram. The temple is especially significant during Rahu-Ketu periods.",13.7871,79.6922,image36.jfif,"Speciality: Air element lingam where the lamp flame flickers without wind. Rahu-Ketu prayers are considered powerful here. Darshan Timings: 6:00 AM to 9:00 PM all days. Why Visit: For Rahu-Ketu remedies and air lingam. How to Reach: Nearest airport is Tirupati (40 km), nearest railway station is Srikalahasti."
Fort St. George,"Fort St. George in Chennai is the first English fortress in India, built in 1644. The complex houses St. Mary's Church, the oldest Anglican church in Asia. The fort museum displays artifacts from the colonial period. The fort's walls and bastions showcase military architecture. The complex still functions as the Tamil Nadu Legislative Assembly and Secretariat.",13.0878,80.2785,image37.jfif,"Speciality: The birthplace of the British Empire in India. Houses the oldest Anglican church in Asia. Visiting Hours: 9:00 AM to 5:00 PM (Closed Fridays). Why Visit: For colonial history and architecture. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Chennai Fort."
Mysore Palace,"The Mysore Palace in Karnataka is a magnificent example of Indo-Saracenic architecture. The palace was the official residence of the Wodeyar dynasty. The palace features intricate carvings, stained glass, and mosaic floors. The palace is illuminated with 97,000 lights during Dasara. The palace museum displays royal artifacts including weapons and paintings.",12.3051,76.6552,image38.jfif,"Speciality: One of India's most magnificent palaces. The golden howdah weighs 750 kg. Visiting Hours: 10:00 AM to 5:30 PM. Why Visit: For royal splendor and architecture. How to Reach: Nearest airport is Mysore (10 km), nearest railway station is Mysore Junction."
Mecca Masjid,"The Mecca Masjid in Chennai is one of the oldest mosques in the city, built in the 17th century. The mosque's architecture blends Islamic and local styles. The mosque has a peaceful prayer hall and a large courtyard. The mosque is especially crowded during Fridays and Ramadan. The mosque's minarets offer views of the surrounding area.",13.0628,80.2785,image39.jfif,"Speciality: One of Chennai's oldest functioning mosques. Features beautiful Islamic calligraphy. Visiting Hours: 5:00 AM to 9:00 PM. Why Visit: For Islamic heritage in Chennai. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Chennai Park."
San Thome Basilica,The San Thome Basilica in Chennai is a Roman Catholic church built over the tomb of St. Thomas the Apostle. The church's neo-gothic architecture features stained glass windows depicting biblical scenes. The church was elevated to basilica status in 1956. The underground tomb chapel contains relics of St. Thomas. The church is a major pilgrimage site for Indian Christians.,13.066,80.2807,image40.jfif,"Speciality: One of only three churches built over an apostle's tomb. Features beautiful stained glass artwork. Visiting Hours: 6:00 AM to 8:00 PM. Why Visit: For Christian heritage and architecture. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Chennai Egmore."
Vijay Vilas Palace,The Vijay Vilas Palace in Dhanushkodi is a beautiful royal palace blending traditional and modern architecture. The palace is surrounded by lush gardens and overlooks the sea. The palace features intricate carvings and royal artifacts. The palace was used as a summer retreat by the royal family. The palace offers views of the abandoned Dhanushkodi town.,9.2525,79.3123,image41.jfif,"Speciality: Beautiful seaside palace with royal heritage. Offers views of the ghost town Dhanushkodi. Visiting Hours: 9:00 AM to 5:00 PM. Why Visit: For royal architecture and coastal views. How to Reach: Nearest airport is Madurai (150 km), nearest railway station is Rameswaram."
The Government Museum,"The Government Museum in Chennai is one of India's oldest museums, established in 1851. It houses an impressive collection of archaeological artifacts, including bronze sculptures from the Chola period, ancient coins, and Amaravati marbles. The museum complex includes the National Art Gallery and the Connemara Public Library. The building itself is a fine example of Indo-Saracenic architecture with beautiful corridors and courtyards.",13.0877,80.2785,image42.jfif,"Speciality: Houses the world's largest collection of Roman-era artifacts outside Europe. The bronze gallery contains exquisite Chola sculptures. Visiting Hours: 9:30 AM to 5:00 PM (Closed Fridays). Why Visit: For South India's rich historical artifacts. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Egmore."
Raja's Seat,"Raja's Seat in Madikeri, Coorg is a scenic viewpoint that was the favorite leisure spot of the Kodava kings. The beautifully landscaped garden offers panoramic views of the Western Ghats. The sunset views are particularly spectacular, with mist-covered valleys and rolling hills. The site has a small temple and a musical fountain that operates in the evenings. The name comes from the stone throne where kings would sit to enjoy the view.",12.3052,79.678,image43.jfif,"Speciality: Offers breathtaking views of the Western Ghats. The sunset point is particularly famous. Visiting Hours: 5:30 AM to 8:00 PM. Why Visit: For spectacular valley views and peaceful gardens. How to Reach: Nearest airport is Mangalore (140 km), nearest railway station is Mysore."
Nehru Park,"Nehru Park in Chennai is a well-maintained urban park featuring lush greenery, flower beds, and sculptures. The park has a musical fountain that operates in the evenings, a children's play area, and walking paths. It's a popular spot for morning walkers and families. The park hosts cultural events and flower shows periodically. The peaceful atmosphere makes it an ideal escape from the city's hustle.",13.0827,80.2791,image44.jfif,"Speciality: Features Chennai's first musical fountain. The park has over 1,000 species of plants. Visiting Hours: 5:00 AM to 9:00 PM. Why Visit: For relaxation and greenery in city center. How to Reach: Nearest airport is Chennai (8 km), nearest railway station is Chennai Egmore."
